"pdbid","ligand","dataset","SMILES","Cluster"
"2MXS","PAR","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"2O3V","N33","2013","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O)N)[C@H](N)[C@@H](OCO[C@@H]2[C@H]([C@@H](O)O[C@@H]([C@H]2O)CO)N)[C@H](O)[C@H](O1)CO","Row6"
"2O3V","N33","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O)N)[C@H](N)[C@@H](OCO[C@@H]2[C@H]([C@@H](O)O[C@@H]([C@H]2O)CO)N)[C@H](O)[C@H](O1)CO","Row6"
"2O3W","PAR","2013","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"2O3W","PAR","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"2O3X","N30","testing","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O)[C@H](O2)CN)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"2OE5","AM2","testing","[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
"2OE8","AM2","2013","[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
"2OE8","AM2","2016","[C@H]1([C@@H](C[C@H]2[C@@H]([C@@H]([C@@H]([C@H](O2)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](CO)O2)N)O)O)NC)O)O1)N)O[C@H]1[C@@H]([C@H]([C@@H](C[C@@H]1N)N)O)O","Row6"
"2PWT","LHA","testing","[C@@H]1(O[C@@H]2[C@H](C[C@@H](NC(=O)[C@@H](O)CCN)[C@@H]([C@H]2O[C@@H]2O[C@@H]([C@H]([C@H]2OCCNCCc2ccccc2)O[C@@H]2[C@H](N)[C@@H](O)[C@H](O)[C@@H](O2)CN)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"2TOB","ligand","testing","[C@H]1([C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)N)O)O[C@H]1[C@@H](C[C@@H]([C@H]([C@@H]1O)O[C@@H]1[C@@H](C[C@@H]([C@@H](CN)O1)O)N)N)N","Row6"
"3BNQ","PAR","2013","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"3BNQ","PAR","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"3C5D","LIV","2013","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@H](O)[C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@H](O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)[C@@H](O2)CN)O)N)[C@H](N)C[C@H](O)[C@H](O1)CO","Row6"
"3C5D","LIV","2016","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@H](O)[C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@H](O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)[C@@H](O2)CN)O)N)[C@H](N)C[C@H](O)[C@H](O1)CO","Row6"
"3C7R","NMY","2013","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"3C7R","NMY","2016","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"3C44","PAR","2013","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
