[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@H](O)[C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@H](O[C@@H]3[C@H]([C@H]([C@@H]([C@@H](CO)O3)O)O)O)[C@@H](O2)CN)O)N)[C@H](N)C[C@H](O)[C@H](O1)CO	3C5D_LIV_B_24	3C5D
[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN	3C7R_NMY_A_24	3C7R
N[C@H](C(=O)O)CCCCN	ligand.pdb	3D0U
n1c(C)nc(N)c(c1)C[n+]1csc(c1C)CCO[P@@](=O)(O)OP(=O)(O)O	3D2G_TPP_A_83	3D2G
Cc1ncc(C[n+]2cccc(CCO[P@@](=O)(O)OP(=O)(O)O)c2C)c(N)n1	3D2V_PYI_A_84	3D2V
OP(=O)(O)O[P@](=O)(O)OCCc1c(C)[n+](cs1)Cc1cnc(C)nc1O	3D2X_D2X_A_85	3D2X
N[C@@H](CSCCN)C(=O)O	ligand.pdb	3DIG
N[C@H](C(=O)O)CCCCN	ligand.pdb	3DIL
N[C@H](C(=O)O)CCCCN	ligand.pdb	3DIO
N[C@@H](CCCCNC(=N)N)C(=O)O	3DIQ_HRG_A_175	3DIQ
O=C(O)[C@@H](N)CCCCNC(=N)C	3DIR_IEL_A_175	3DIR
N[C@H](C(=O)O)CCCCN	ligand.pdb	3DIY
OC(=O)[C@@H](N)COCCN	ligand.pdb	3DJ0
N[C@H](C(=O)O)CCCCN	ligand.pdb	3DJ2
OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O	3DS7_GNG_A_120	3DS7
OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O	3DVV_RIO_A_27	3DVV
C(O)C(O)CO	3DW4_GOL_A_1	3DW4
N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12	ligand.pdb	3E5C
N[C@@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)C(=O)O	3E5E_SAH_A_220	3E5E
n1c(=O)[nH]c(=O)c2nc3cc(C)c(C)cc3n(c12)C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O	3F2Q_FMN_X_200	3F2Q
COc1nc(nc2c1[nH]cn2)N	3FO6_6GO_A_91	3FO6
[nH]1cnc2cnc(N)nc12	3G4M_2BP_A_91	3G4M
[nH]1c2[nH]c(=O)[nH]c(=O)c2nc1	3GAO_XAN_A_90	3GAO
[nH]1c(nc2c(c1=O)c(C#N)c[nH]2)N	3GCA_PQ0_A_34	3GCA
C(O)C(O)CO	3GLP_GOL_A_10	3GLP
Fc1nc2c(c(n1)N)[nH]cn2	3GOT_A2F_A_91	3GOT
N[C@H](C(=O)O)CC[C@H](N)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12	3GX2_SFG_A_301	3GX2
N[C@@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)C(=O)O	3GX3_SAH_A_301	3GX3
N[C@H](C(=O)O)CC[S@H](C)C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12	ligand.pdb	3GX5
N[C@H](C(=O)O)CC[S@H](C)C[C@@H]1O[C@@H]([C@H]([C@@H]1O)O)n1cnc2c(N)ncnc12	ligand.pdb	3IQR
c1(=O)[nH]c(ncn1)N	3LA5_5AZ_A_84	3LA5
CCN(CC)CCC(=O)Nc1cccc(c1)c1cn(nn1)c1ccc2cc3ccc(cc3nc2c1)n1cc(nn1)c1cccc(c1)NC(=O)CCN(CC)CC	3MIJ_R14_A_30	3MIJ
N[C@@H](CCSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(N)ncnc12)C(=O)O	3NPQ_SAH_A_55	3NPQ
NCC(=O)O	3OWW_GLY_A_89	3OWW
[P@]1(=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O[P@](=O)(O)OC[C@H]2O[C@H]([C@@H]([C@@H]2O1)O)n1cnc2c(=O)[nH]c(N)nc12)O)n1cnc2c(=O)[nH]c(N)nc12	3Q3Z_C2E_V_1	3Q3Z
[nH]1c(nc2c(c1=O)c(CN)c[nH]2)N	3Q50_PRF_A_34	3Q50
c12c(c(=S)[nH]c(N)n1)nc[nH]2	3RKF_DX4_A_91	3RKF
[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](OCCNCCc3ccccc3)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO	3S4P_JS6_A_50	3S4P
N1=C(NC(=O)[C@H]2N([C@H](CNC=12)CNc1ccccc1)C=O)N	ligand.pdb	3SD3
OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O	3SKI_GNG_A_120	3SKI
OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O	3SKL_GNG_A_120	3SKL
OC[C@H]1O[C@@H](n2cnc3c2[nH]c(nc3=O)N)C[C@@H]1O	3SKR_GNG_A_120	3SKR
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c(=O)[nH]c(N)nc12	3SKZ_GMP_A_120	3SKZ
